 3 Kings | Live Resin Batter,Funk Extracts,68.97%,0.17%,$30,1 g,Attis Trading - Barbur
 Critical Mass- Rosin,Pruf Cultivar,64.8%,0%,$40,1 g,Attis Trading - Barbur
Sour Skunk,Emerald Extracts,71.1%,0%,$12.5,1 g,Attis Trading - Barbur
Grape Widow,Emerald Extracts,75.2%,0.2%,$12.5,1 g,Attis Trading - Barbur
Starduster Live Resin,Dr. Jolly's,65.31%,0%,$20,1 g,Attis Trading - Barbur
Samoas,Willamette Valley Alchemy,71.3%,0%,$20,1 g,Attis Trading - Barbur
Sugar Biscuits Live Resin,Dr. Jolly's,75.52%,0.1%,$20,1 g,Attis Trading - Barbur
Koffee Cake | Shatter,Funk Extracts,73.16%,0%,$16,1 g,Attis Trading - Barbur
Long Valley Reserve | Shatter,Funk Extracts,68.11%,0%,$16,1 g,Attis Trading - Barbur
Razzberry Lemonade,Emerald Extracts,69.7%,0.3%,$12.5,1 g,Attis Trading - Barbur
MAC,Artifact Extracts,67.75%,0%,$15,1 g,Attis Trading - Barbur
Lemon Tree,Artifact Extracts,69.7%,0.14%,$20,1 g,Attis Trading - Barbur
 Interspecies Erotica ,Artifact Extracts,74.84%,0.14%,$20,1 g,Attis Trading - Barbur
Sundae Driver X Lava Cake,Dr. Jolly's,68.47%,0%,$16,1 g,Attis Trading - Barbur
Eugreen Cakes,Dr. Jolly's,70.85%,1.8%,$16,1 g,Attis Trading - Barbur
The Flavor Man,Beehive Extracts,68.1%,0%,$12.5,1 g,Attis Trading - Barbur
Sour Nepali (Sugar Wax),Echo Electuary,78.5%,0%,$30,1 g,Attis Trading - Barbur
Chem Face OG (Zombee Budder),Echo Electuary,63.9%,0%,$30,1 g,Attis Trading - Barbur
Gorilla Snacks,Artifact Extracts,68.01%,0.15%,$20,1 g,Attis Trading - Barbur
 Banana Split,Artifact Extracts,68.21%,0.14%,$16,1 g,Attis Trading - Barbur
Gorilla Snacks (Live Resin),Echo Electuary,72.4%,0%,$40,1 g,Attis Trading - Barbur
Sour Tangie,Willamette Valley Alchemy,72.62%,0%,$20,1 g,Attis Trading - Barbur
Viola Live Resin - Banana Split,VIOLA EXTRACTS,59.75%,0.59%,$16,1 g,Attis Trading - Barbur
Viola Live Resin - Purple Kush,VIOLA EXTRACTS,60.85%,0.34%,$16,1 g,Attis Trading - Barbur
Viola Live Resin - Blue Magoo,VIOLA EXTRACTS,52.8%,0.42%,$16,1 g,Attis Trading - Barbur
Jack's Dream,DayDream Farm,71.9%,0%,$10,1 g,Attis Trading - Barbur
Space Nectar (BHO Shatter),Daydream Farm,78.9%,0%,$10,1 g,Attis Trading - Barbur
Gorilla Dream,Beehive Extracts,66.5%,0.48%,$12.5,1 g,Attis Trading - Barbur
WiFi OG,Beehive Extracts,70.4%,0.8%,$16,1 g,Attis Trading - Barbur
Lemon Sour Diesel,DayDream Farm,76.1%,0%,$10,1 g,Attis Trading - Barbur
Granola Funk,DayDream Farm,75.9%,0%,$10,1 g,Attis Trading - Barbur
Purple Punch,Beehive Extracts,66.25%,2.9%,$16,1 g,Attis Trading - Barbur
THCA Crystals ,Echo Electuary,85.8%,0%,$40,1 g,Attis Trading - Barbur
Big Widow,Emarald Extracts,82.4%,0.4%,$12.5,1 g,Attis Trading - Barbur
Animal Cookies -Live Resin,Mana Extracts,65.99%,0.1%,$20,1 g,Attis Trading - Barbur
Venom Punch - Shatter,Mana Extracts,78.78%,3.18%,$16,1 g,Attis Trading - Barbur
Blue Candy - Shatter,Mana Extracts,64.84%,0.34%,$16,1 g,Attis Trading - Barbur
Chem 91 - Live Resin,Mana Extracts,61.32%,0.25%,$16,1 g,Attis Trading - Barbur
Dosidos,Mana Extracts,62.11%,0.12%,$16,1 g,Attis Trading - Barbur
Gelato X Indiana Bubblegum - Sugar wax,Mana Extracts,75.54%,0.14%,$16,1 g,Attis Trading - Barbur
Cement Shoes,Mana Extracts,81.75%,0.25%,$16,1 g,Attis Trading - Barbur
Viola Live Resin - Mandarine Dreams,VIOLA EXTRACTS,60.25%,0.67%,$16,1 g,Attis Trading - Barbur
Cornbread,Artifact Extracts,64.32%,0.14%,$12.5,1 g,Attis Trading - Barbur
Golden Pineapple,Artifact Extracts,64.43%,0%,$20,1 g,Attis Trading - Barbur
Kush N' Cheese,Artifact Extracts,64.1%,0.14%,$12.5,1 g,Attis Trading - Barbur
Hash - Stripper Glitter ,Nugget Candy Co.,51.1%,0%,$8,1 g,Attis Trading - Barbur
Hash - Banana Split,Nugget Candy Co,51.3%,0.14%,$12,1 g,Attis Trading - Barbur
ZkittleZ,Beehive Extracts,63.95%,1.58%,$12.5,1 g,Attis Trading - Barbur
9lb Hammer,Artifact Extracts,71.52%,0.13%,$20,1 g,Attis Trading - Barbur
 Goji OG,Artifact Extracts,67.97%,0.11%,$16,1 g,Attis Trading - Barbur
Full Spectrum Bubble Hash - Tangerine Kush,Nugget Candy Co.,33.3%,0%,$8,1 g,Attis Trading - Barbur
Full Melt Bubble Hash - Strawberry Banana,Nugget Candy Co.,59.9%,0.057%,$12,1 g,Attis Trading - Barbur
Full Spectrum Bubble Hash - Frost Bite,Nugget Candy Co.,44.1%,0.38%,$8,1 g,Attis Trading - Barbur
Hash - Dream Cookies,Nugget Candy Co.,50.63%,0%,$8,1 g,Attis Trading - Barbur
 Escobar's Reserve- Diamonds,Pangaea Extracts,70.28%,0.16%,$25,1 g,Attis Trading - Barbur
 Purple Punch - Sugar Wax ,Mana Extracts,76.9%,0.8%,$20,1 g,Attis Trading - Barbur
 Cherry Limeade | Live Resin Gems,Funk Extracts,68.38%,0.13%,$35,1 g,Attis Trading - Barbur
Headstash | Live Resin Batter,Funk Extracts,70.68%,0.16%,$30,1 g,Attis Trading - Barbur
 Lemon Hashplant- Shatter,Willamette Valley Alchemy,77.8%,0%,$20,1 g,Attis Trading - Barbur
 T.I.T.S.- Shatter,Willamette Valley Alchemy,70.5%,0%,$20,1 g,Attis Trading - Barbur
Willamette Valley | Diamonds | Purple Punch,Willamette Valley Alchemy,75.2%,0%,$40,1 g,Attis Trading - Barbur
 The Wook,Beehive Extracts,63%,0.25%,$20,1 g,Attis Trading - Barbur
 Gorilla Snacks- Live Resin,Mana Extracts,65.99%,0.1%,$20,1 g,Attis Trading - Barbur
 G.S.C- Diamonds,Pangaea Extracts,65.23%,0.19%,$25,1 g,Attis Trading - Barbur
 Blue Magoo- Sugar Wax,Pangaea Extracts,66.91%,0%,$20,1 g,Attis Trading - Barbur
Conspiracy Stomper- Sugar Wax,Pangaea Extracts,77.46%,0%,$20,1 g,Attis Trading - Barbur
Scooby Mimosa- Sugar Wax,Pangaea Extracts,73.71%,0%,$20,1 g,Attis Trading - Barbur
 Platinum OG- Rosin,Pruf Cultivar,64.35%,0%,$40,1 g,Attis Trading - Barbur
Strawberry Banana- Rosin,Sumpter,61.4%,1.1%,$15,1 g,Attis Trading - Barbur
Cartridge | Farmer's Friend Extracts: Samoas,Farmer's Friend Extracts   |   FFEPDX  ,72.88%,0.26%,$23,1 g,Bridge City - SE
Tree Honey | Chernobyl,Unknown Brand,66.7%,0.4%,$10,1 g,Bridge City - SE
Tree Honey | Durban Poison,Unknown Brand,60.8%,0.5%,$10,1 g,Bridge City - SE
Tree Honey | 'GG' #4,Unknown Brand,62.4%,0.3%,$10,1 g,Bridge City - SE
Tree Honey | Kosher Chem,Unknown Brand,62.35%,1.4%,$10,1 g,Bridge City - SE
Cartirdge | Avitas: Alpha Blue,Avitas,84.7%,0%,$24,.5g,Bridge City - SE
Cartridge | Avitas Live Resin: Blue City D...,Avitas,77%,0%,$44,1 g,Bridge City - SE
Cartridge | Avitas Live Resin: Orange Thai,Avitas,71.2%,0%,$44,1 g,Bridge City - SE
Cartridge | Avitas Live Resin: Strawberry ...,Avitas,78%,0%,$28,½ g,Bridge City - SE
Cartridge | Avitas Ultra: Brian Berry Cough,Avitas,88%,0%,$28,½ g,Bridge City - SE
**All Prices Shown Are Before Tax**,Unknown Brand,0%,0%,$12,1 g,Bridge City - SE
Beehive | Dawg X OG | Terp Wax,Unknown Brand,0%,0%,$28,1 g,Bridge City - SE
Beehive Extracts | Savage Pheonix Live Resin,Beehive Extracts,0%,0%,$14,1 g,Bridge City - SE
Buddies | Kimbo Kush x Lemon Drop Terp Sugar,Buddies Brand,73.2%,0.36%,$20,½ g,Bridge City - SE
Cartirdge | Avitas Holiday Blends: Glitter...,Avitas,0%,0%,$36,1 g,Bridge City - SE
Cartirdge | Avitas Holiday Blends: Sugar &...,Avitas,0%,0%,$44,1 g,Bridge City - SE
Cartridge | Avitas: Pennywise,Avitas,37.7%,37.5%,$44,1 g,Bridge City - SE
Cartridge | Avitas: Purple Harie Tsu,Avitas,33.6%,28.9%,$24,½ g,Bridge City - SE
Cartridge | Avitas: Savage Mendo,Avitas,80.5%,0%,$24,½ g,Bridge City - SE
Cartridge | Avitas: Strawberry Fields,Avitas,84.9%,0%,$40,1 g,Bridge City - SE
Cartridge | Avitas Ultra: MK Ultra,Avitas,86.6%,0%,$28,½ g,Bridge City - SE
Cartridge | Avitas Ultra: Sour Lime,Avitas,89.7%,0%,$44,1 g,Bridge City - SE
Cartridge | Avitas Ultra: Starfields,Avitas,89.9%,0%,$24,.5g,Bridge City - SE
Cartridge | Avitas: ACDC,Unknown Brand,12.4%,60.2%,$24,½ g,Bridge City - SE
Cartridge | Avitas: Blue City Diesel,Avitas,76.1%,0%,$24,½ g,Bridge City - SE
Cartridge | Avitas: Dragon OG,Avitas,0%,0%,$24,½ g,Bridge City - SE
Cartridge | Avitas: Oregon Pinot,Avitas,78%,0%,$24,.5g,Bridge City - SE
Cartridge | Buddies: Mango Haze,Buddies Brand,87.2%,2.43%,$25,½ g,Bridge City - SE
Cartridge | Buddies: Super Sour Diesel,Buddies Brand,85.2%,0%,$25,½ g,Bridge City - SE
Cartridge | Buddies Purple Hindu Kush,Buddies Brand,80.51%,0.6%,$25,½ g,Bridge City - SE
Cartridge | Buddies: Disco Funk,Buddies Brand,93%,0%,$28,½ g,Bridge City - SE
Cartridge | Buddies: Disco Funk Live Resin,Buddies Brand,75%,0.26%,$28,½ g,Bridge City - SE
Cartridge | Buddies: Dogwalker Kookies Liv...,Buddies Brand,74.6%,0.26%,$25,½ g,Bridge City - SE
Cartridge | Buddies: Grape Pie,Buddies Brand,92.4%,0%,$40,1 g,Bridge City - SE
Cartridge | EVOLVD: Hawaiian Diesel,EVOLVD,83.21%,0.15%,$35,½ g,Bridge City - SE
